Dataset;Experiment 1 Name;Experiment 2 Name;T Test Compared Results;Alfa;T-value;P-value;Level of Confidence (%);Equal Variance?
MR;DO03;HD500;Fail to reject H0;0.03;-1.8022;0.0882909674975755;91.1709;True
MR;DO04;DO05;Fail to reject H0;0.03;-0.8958;0.38218733427630114;61.7813;True
MR;DO04;DO06;Reject H0;0.03;-2.4099;0.02687559744659459;97.3124;True
MR;DO04;DO07;Reject H0;0.03;-3.0555;0.00681035690642566;99.319;True
MR;DO04;DO08;Reject H0;0.03;-6.1174;8.869151390110682e-06;99.9991;True
MR;DO04;DO09;Reject H0;0.03;-4.3701;0.00036905060212048926;99.9631;True
MR;DO04;HD50;Fail to reject H0;0.03;-1.4884;0.1539690034649611;84.6031;True
MR;DO04;HD350;Fail to reject H0;0.03;-0.2494;0.8059030587959308;19.4097;True
MR;DO04;HD500;Fail to reject H0;0.03;-0.5044;0.6201287167848608;37.9871;True
MR;DO05;DO06;Fail to reject H0;0.03;-1.4347;0.16852929325672;83.1471;True
MR;DO05;DO07;Reject H0;0.03;-2.4394;0.0252926054033503;97.4707;True
MR;DO05;DO08;Reject H0;0.03;-5.4347;3.6596162988473365e-05;99.9963;True
MR;DO05;DO09;Reject H0;0.03;-3.8109;0.0012798707772265032;99.872;True
MR;DO05;HD50;Fail to reject H0;0.03;-0.7312;0.4740721268140008;52.5928;True
MR;DO05;HD350;Fail to reject H0;0.03;0.5699;0.5757698010411755;42.423;True
MR;DO05;HD500;Fail to reject H0;0.03;0.3207;0.7521682090828324;24.7832;True
MR;DO06;DO07;Fail to reject H0;0.03;-1.6916;0.11716648239218147;88.2834;False
MR;DO06;DO08;Reject H0;0.03;-4.9875;9.538557721438959e-05;99.9905;True
MR;DO06;DO09;Reject H0;0.03;-3.2059;0.008098123195045145;99.1902;False
MR;DO06;HD50;Fail to reject H0;0.03;0.3483;0.7331384328470749;26.6862;False
MR;DO06;HD350;Fail to reject H0;0.03;1.874;0.07725748993691461;92.2743;True
MR;DO06;HD500;Fail to reject H0;0.03;1.6189;0.12286165703717714;87.7138;True
MR;DO07;DO08;Fail to reject H0;0.03;-1.6342;0.11959127105309046;88.0409;True
MR;DO07;DO09;Fail to reject H0;0.03;-1.2761;0.21814695747154905;78.1853;True
MR;DO07;HD50;Fail to reject H0;0.03;1.6685;0.1125160112950088;88.7484;True
MR;DO07;HD350;Reject H0;0.03;2.7219;0.013986396384540432;98.6014;True
MR;DO07;HD500;Reject H0;0.03;2.5511;0.020053971151356625;97.9946;True
MR;DO08;DO09;Fail to reject H0;0.03;0.0478;0.9624031991393317;3.7597;True
MR;DO08;HD50;Reject H0;0.03;3.9999;0.0008400989297094614;99.916;True
MR;DO08;HD350;Reject H0;0.03;5.423;3.751763975590333e-05;99.9962;True
MR;DO08;HD500;Reject H0;0.03;5.2572;5.3394083040794216e-05;99.9947;True
MR;DO09;HD50;Reject H0;0.03;2.9883;0.007883476941420223;99.2117;True
MR;DO09;HD350;Reject H0;0.03;4.0088;0.0008235139786836234;99.9176;True
MR;DO09;HD500;Reject H0;0.03;3.8572;0.001154559853406217;99.8845;True
MR;HD50;HD350;Fail to reject H0;0.03;1.1726;0.2562445315523043;74.3755;True
MR;HD50;HD500;Fail to reject H0;0.03;0.9599;0.3498045042605452;65.0195;True
MR;HD350;HD500;Fail to reject H0;0.03;-0.2347;0.8170798695036814;18.292;True
Ohsumed;ES10;ES100;Fail to reject H0;0.03;0.5587;0.5832204228444393;41.678;True
Ohsumed;ES10;ES1000;Reject H0;0.03;13.8539;6.877887143493021e-09;100.0;False
Ohsumed;ES10;LR01;Reject H0;0.03;4.9695;9.917762493929613e-05;99.9901;True
Ohsumed;ES10;LR001;Fail to reject H0;0.03;0.3909;0.7004456680405997;29.9554;True
Ohsumed;ES10;LR0001;Reject H0;0.03;8.8125;6.018651504922303e-08;100.0;True
Ohsumed;ES10;LR00001;Reject H0;0.03;12.1847;3.9445673328733664e-10;100.0;True
Ohsumed;ES10;DO01;Fail to reject H0;0.03;-1.413;0.1747223214482239;82.5278;True
Ohsumed;ES10;DO02;Fail to reject H0;0.03;-0.8309;0.4169035618576843;58.3096;True
Ohsumed;ES10;DO03;Fail to reject H0;0.03;-1.2663;0.22843075641566868;77.1569;False
Ohsumed;ES10;DO04;Fail to reject H0;0.03;-0.4033;0.6942179950449467;30.5782;False
Ohsumed;ES10;DO05;Fail to reject H0;0.03;0.3012;0.7679885585400632;23.2011;False
Ohsumed;ES10;DO06;Fail to reject H0;0.03;1.4112;0.1752431368515398;82.4757;True
Ohsumed;ES10;DO07;Fail to reject H0;0.03;0.5628;0.5804949663173458;41.9505;True
Ohsumed;ES10;DO08;Fail to reject H0;0.03;1.9699;0.06443383426444647;93.5566;True
Ohsumed;ES10;DO09;Reject H0;0.03;3.4002;0.00318982499004745;99.681;True
Ohsumed;ES10;HD50;Reject H0;0.03;6.9075;1.8554744704686464e-06;99.9998;True
Ohsumed;ES10;HD350;Fail to reject H0;0.03;-0.4203;0.6792672676254907;32.0733;True
Ohsumed;ES10;HD500;Fail to reject H0;0.03;-0.9217;0.3688999659422132;63.11;True
Ohsumed;ES100;ES1000;Reject H0;0.03;18.0982;5.365830560996604e-13;100.0;True
Ohsumed;ES100;LR01;Reject H0;0.03;5.0891;0.0002061817703630398;99.9794;False
