Dataset;Experiment;Experiment Name;Experiment Mean;Experiment Std;Original Mean;Original Std;T Test Compared Results;Alfa;T-value;P-value;Level of Confidence (%);Higher Mean;Difference (Experiment-Original);Equal Variance?
R8;0;ES10;0.9716;0.0015;0.9707;0.001;Fail to reject H0;0.03;-1.6574;0.11476593449782146;88.5234;Experiment;0.0009;True
R8;1;ES100;0.9694;0.001;0.9707;0.001;Reject H0;0.03;2.8952;0.009645655588418482;99.0354;Original;-0.0013;True
R8;2;ES1000;0.9662;0.0011;0.9707;0.001;Reject H0;0.03;9.5426;1.826731359006819e-08;100.0;Original;-0.0045;True
R8;3;LR01;0.965;0.0016;0.9707;0.001;Reject H0;0.03;9.5767;1.7303724118352276e-08;100.0;Original;-0.0057;True
R8;4;LR001;0.9736;0.0007;0.9707;0.001;Reject H0;0.03;-7.4745;6.3605348735724e-07;99.9999;Experiment;0.0029;True
R8;5;LR0001;0.9712;0.0007;0.9707;0.001;Fail to reject H0;0.03;-1.3294;0.2003354553275325;79.9665;Experiment;0.0005;True
R8;6;LR00001;0.9709;0.0005;0.9707;0.001;Fail to reject H0;0.03;-0.4268;0.6745564439339868;32.5444;Experiment;0.0002;True
R8;7;DO01;0.9725;0.001;0.9707;0.001;Reject H0;0.03;-3.9145;0.0010159976369642557;99.8984;Experiment;0.0018;True
R8;8;DO02;0.9721;0.0008;0.9707;0.001;Reject H0;0.03;-3.5063;0.002521134990689184;99.7479;Experiment;0.0014;True
R8;9;DO03;0.9718;0.0011;0.9707;0.001;Fail to reject H0;0.03;-2.2579;0.036608952051561075;96.3391;Experiment;0.0011;True
R8;10;DO04;0.9725;0.001;0.9707;0.001;Reject H0;0.03;-3.9502;0.0009382551835276301;99.9062;Experiment;0.0018;True
R8;11;DO05;0.9727;0.0014;0.9707;0.001;Reject H0;0.03;-3.8056;0.0012950660308674708;99.8705;Experiment;0.002;True
R8;12;DO06;0.973;0.0009;0.9707;0.001;Reject H0;0.03;-5.4046;3.9003503930927456e-05;99.9961;Experiment;0.0023;True
R8;13;DO07;0.9723;0.0007;0.9707;0.001;Reject H0;0.03;-3.995;0.0008491824015526586;99.9151;Experiment;0.0016;True
R8;14;DO08;0.9725;0.0013;0.9707;0.001;Reject H0;0.03;-3.4491;0.0028623245646654805;99.7138;Experiment;0.0018;True
R8;15;DO09;0.9719;0.0019;0.9707;0.001;Fail to reject H0;0.03;-1.8017;0.08836967656198898;91.163;Experiment;0.0012;True
R8;16;HD50;0.9714;0.0019;0.9707;0.001;Fail to reject H0;0.03;-1.0462;0.3093088164063356;69.0691;Experiment;0.0007;True
R8;17;HD350;0.9714;0.001;0.9707;0.001;Fail to reject H0;0.03;-1.5361;0.14190735244895272;85.8093;Experiment;0.0007;True
R8;18;HD500;0.9703;0.0007;0.9707;0.001;Fail to reject H0;0.03;1.0149;0.3236222914933603;67.6378;Original;-0.0004;True
R52;0;ES10;0.9366;0.0019;0.9356;0.0018;Fail to reject H0;0.03;-1.2478;0.22809618909769086;77.1904;Experiment;0.001;True
R52;1;ES100;0.9373;0.0013;0.9356;0.0018;Reject H0;0.03;-2.3641;0.029518761983443942;97.0481;Experiment;0.0017;True
R52;2;ES1000;0.9383;0.0013;0.9356;0.0018;Reject H0;0.03;-3.8574;0.0011538071369839142;99.8846;Experiment;0.0027;True
R52;3;LR01;0.9294;0.0032;0.9356;0.0018;Reject H0;0.03;5.3972;3.9621281999910937e-05;99.996;Original;-0.0062;True
R52;4;LR001;0.9343;0.0022;0.9356;0.0018;Fail to reject H0;0.03;1.4769;0.15698950789905103;84.301;Original;-0.0013;True
R52;5;LR0001;0.9234;0.0039;0.9356;0.0018;Reject H0;0.03;9.0917;6.264069833590026e-07;99.9999;Original;-0.0122;False
R52;6;LR00001;0.8935;0.0015;0.9356;0.0018;Reject H0;0.03;57.1002;8.429569501117047e-22;100.0;Original;-0.0421;True
R52;7;DO01;0.938;0.0009;0.9356;0.0018;Reject H0;0.03;-3.8034;0.0013014590125193992;99.8699;Experiment;0.0024;True
R52;8;DO02;0.9373;0.0016;0.9356;0.0018;Fail to reject H0;0.03;-2.2919;0.034181933148488886;96.5818;Experiment;0.0017;True
R52;9;DO03;0.9368;0.0012;0.9356;0.0018;Fail to reject H0;0.03;-1.7094;0.10456706734729528;89.5433;Experiment;0.0012;True
R52;10;DO04;0.9371;0.0018;0.9356;0.0018;Fail to reject H0;0.03;-1.8759;0.07697790073493492;92.3022;Experiment;0.0015;True
R52;11;DO05;0.9372;0.0019;0.9356;0.0018;Fail to reject H0;0.03;-1.9417;0.06798731046458252;93.2013;Experiment;0.0016;True
R52;12;DO06;0.9342;0.0019;0.9356;0.0018;Fail to reject H0;0.03;1.7462;0.09782475880894044;90.2175;Original;-0.0014;True
R52;13;DO07;0.934;0.0033;0.9356;0.0018;Fail to reject H0;0.03;1.3854;0.18284624725508175;81.7154;Original;-0.0016;True
R52;14;DO08;0.9327;0.0041;0.9356;0.0018;Fail to reject H0;0.03;2.0051;0.06744514201550543;93.2555;Original;-0.0029;False
R52;15;DO09;0.926;0.0033;0.9356;0.0018;Reject H0;0.03;8.1429;1.902663167046924e-07;100.0;Original;-0.0096;True
R52;16;HD50;0.9237;0.0061;0.9356;0.0018;Reject H0;0.03;5.9677;0.00010977270013033323;99.989;Original;-0.0119;False
R52;17;HD350;0.9375;0.002;0.9356;0.0018;Fail to reject H0;0.03;-2.2121;0.04013000552727726;95.987;Experiment;0.0019;True
R52;18;HD500;0.9374;0.0011;0.9356;0.0018;Reject H0;0.03;-2.7583;0.012939739731296097;98.706;Experiment;0.0018;True
